+-----------------------------------------------------------------------------+
|                         RASTER MAP CATEGORY REPORT                          |
|LOCATION: MAL1                                       Wed Jun 10 22:11:26 2020|
|-----------------------------------------------------------------------------|
|          north: 8998072.01423559    east: 887355.39069059                   |
|REGION    south: 8072639.36201714    west: 432826.53844818                   |
|          res:       496.21053738    res:     496.21053738                   |
|-----------------------------------------------------------------------------|
|MASK: none                                                                   |
|-----------------------------------------------------------------------------|
|MAP: (untitled) (rTravelTime__mwi_go_v2 in MAL1)                             |
|-----------------------------------------------------------------------------|
|                   Category Information                    |  square  |   %  |
|   #|description                                           |kilometers| cover|
|-----------------------------------------------------------------------------|
|  66| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     50.72|  0.01|
|  67| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     52.45|  0.01|
|  68| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     54.91|  0.01|
|  69| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     49.49|  0.01|
|  70| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     51.95|  0.01|
|  71| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     57.12|  0.01|
|  72| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     56.63|  0.01|
|  73| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     56.88|  0.01|
|  74| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     55.89|  0.01|
|  75| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     58.85|  0.01|
|  76| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     60.82|  0.01|
|  77| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     58.85|  0.01|
|  78| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     61.06|  0.01|
|  79| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     55.40|  0.01|
|  80| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     66.73|  0.02|
|  81| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     65.50|  0.02|
|  82| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     64.76|  0.02|
|  83| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     62.79|  0.01|
|  84| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     67.71|  0.02|
|  85| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     60.33|  0.01|
|  86| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     67.96|  0.02|
|  87| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     71.41|  0.02|
|  88| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     73.38|  0.02|
|  89| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     70.17|  0.02|
|  90| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     72.64|  0.02|
|  91| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     72.88|  0.02|
|  92| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     76.58|  0.02|
|  93| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     74.36|  0.02|
|  94| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     75.34|  0.02|
|  95| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     73.62|  0.02|
|  96| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     77.07|  0.02|
|  97| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     75.59|  0.02|
|  98| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     83.72|  0.02|
|  99| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     78.55|  0.02|
| 100| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     82.49|  0.02|
| 101| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     77.31|  0.02|
| 102| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     82.98|  0.02|
| 103| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     86.67|  0.02|
| 104| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     87.90|  0.02|
| 105| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     83.96|  0.02|
| 106| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     82.73|  0.02|
| 107| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     89.63|  0.02|
| 108| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     84.46|  0.02|
| 109| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     86.92|  0.02|
| 110| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     86.92|  0.02|
| 111| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     95.29|  0.02|
| 112| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     88.39|  0.02|
| 113| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     90.86|  0.02|
| 114| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     91.10|  0.02|
| 115| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     91.10|  0.02|
| 116| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     92.83|  0.02|
| 117| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     88.89|  0.02|
| 118| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     92.83|  0.02|
| 119| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     93.07|  0.02|
| 120| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     98.98|  0.02|
| 121| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     96.03|  0.02|
| 122| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     99.72|  0.02|
