+-----------------------------------------------------------------------------+
|                         RASTER MAP CATEGORY REPORT                          |
|LOCATION: TZA_PROJ                                   Mon Aug 31 23:15:38 2020|
|-----------------------------------------------------------------------------|
|          north: 10173518.20129205    east: 1736562.50629387                 |
|REGION    south:  8571589.79796037    west:  -140368.6154334                 |
|          res:        500.91569835    res:      500.91569835                 |
|-----------------------------------------------------------------------------|
|MASK: none                                                                   |
|-----------------------------------------------------------------------------|
|MAP: (untitled) (rTravelTime__t4travtime in TZA_PROJ)                        |
|-----------------------------------------------------------------------------|
|                   Category Information                    |  square  |   %  |
|   #|description                                           |kilometers| cover|
|-----------------------------------------------------------------------------|
|   0| . . . . . . . . . . . . . . . . . . . . . . . . . . .|        22|  0.00|
|   1| . . . . . . . . . . . . . . . . . . . . . . . . . . .|        44|  0.00|
|   2| . . . . . . . . . . . . . . . . . . . . . . . . . . .|        71|  0.00|
|   3| . . . . . . . . . . . . . . . . . . . . . . . . . . .|        97|  0.00|
|   4| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       131|  0.00|
|   5| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       158|  0.01|
|   6| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       189|  0.01|
|   7| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       201|  0.01|
|   8| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       224|  0.01|
|   9| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       233|  0.01|
|  10| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       265|  0.01|
|  11| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       289|  0.01|
|  12| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       314|  0.01|
|  13| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       347|  0.01|
|  14| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       375|  0.01|
|  15| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       399|  0.01|
|  16| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       424|  0.01|
|  17| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       465|  0.02|
|  18| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       491|  0.02|
|  19| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       533|  0.02|
|  20| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       550|  0.02|
|  21| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       585|  0.02|
|  22| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       619|  0.02|
|  23| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       668|  0.02|
|  24| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       667|  0.02|
|  25| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       717|  0.02|
