+-----------------------------------------------------------------------------+
|                         RASTER MAP CATEGORY REPORT                          |
|LOCATION: MAL1                                       Thu Apr 16 19:16:46 2020|
|-----------------------------------------------------------------------------|
|          north: 8998072.01423559    east: 887355.39069059                   |
|REGION    south: 8072639.36201714    west: 432826.53844818                   |
|          res:       496.21053738    res:     496.21053738                   |
|-----------------------------------------------------------------------------|
|MASK: none                                                                   |
|-----------------------------------------------------------------------------|
|MAP: (untitled) (rTravelTime__mwi_go in MAL1)                                |
|-----------------------------------------------------------------------------|
|                   Category Information                    |  square  |   %  |
|   #|description                                           |kilometers| cover|
|-----------------------------------------------------------------------------|
|  66| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     56.14|  0.01|
|  67| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     54.42|  0.01|
|  68| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     57.37|  0.01|
|  69| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     54.66|  0.01|
|  70| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     58.85|  0.01|
|  71| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     59.09|  0.01|
|  72| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     60.57|  0.01|
|  73| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     59.34|  0.01|
|  74| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     59.59|  0.01|
|  75| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     67.96|  0.02|
|  76| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     64.51|  0.02|
|  77| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     64.51|  0.02|
|  78| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     62.79|  0.01|
|  79| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     59.83|  0.01|
|  80| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     70.91|  0.02|
|  81| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     69.44|  0.02|
|  82| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     71.90|  0.02|
|  83| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     65.50|  0.02|
|  84| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     72.64|  0.02|
|  85| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     65.50|  0.02|
|  86| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     71.90|  0.02|
|  87| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     77.07|  0.02|
|  88| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     78.79|  0.02|
|  89| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     73.38|  0.02|
|  90| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     77.31|  0.02|
|  91| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     79.28|  0.02|
|  92| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     81.99|  0.02|
|  93| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     77.56|  0.02|
|  94| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     80.27|  0.02|
|  95| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     79.53|  0.02|
|  96| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     84.46|  0.02|
|  97| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     79.28|  0.02|
|  98| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     90.36|  0.02|
|  99| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     82.98|  0.02|
| 100| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     90.36|  0.02|
| 101| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     84.70|  0.02|
| 102| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     91.60|  0.02|
| 103| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     90.61|  0.02|
| 104| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     94.55|  0.02|
| 105| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     87.66|  0.02|
| 106| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     91.35|  0.02|
| 107| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     96.27|  0.02|
| 108| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     91.10|  0.02|
| 109| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     94.55|  0.02|
| 110| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     93.07|  0.02|
| 111| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    104.15|  0.02|
| 112| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     92.83|  0.02|
| 113| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     98.00|  0.02|
| 114| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     96.52|  0.02|
| 115| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     96.52|  0.02|
| 116| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    102.68|  0.02|
| 117| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     95.29|  0.02|
| 118| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    100.21|  0.02|
| 119| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     98.74|  0.02|
| 120| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    105.63|  0.03|
| 121| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    104.89|  0.02|
| 122| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    104.15|  0.02|
| 123| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     93.57|  0.02|
