+-----------------------------------------------------------------------------+
|                         RASTER MAP CATEGORY REPORT                          |
|LOCATION: RWA1                                       Thu Apr 16 19:21:55 2020|
|-----------------------------------------------------------------------------|
|          north: 9884191.10285493    east: 267001.55683388                   |
|REGION    south: 9685318.51287095    west:  39147.53413866                   |
|          res:       499.67987433    res:     499.67987433                   |
|-----------------------------------------------------------------------------|
|MASK: none                                                                   |
|-----------------------------------------------------------------------------|
|MAP: (untitled) (rTravelTime__rwa_go in RWA1)                                |
|-----------------------------------------------------------------------------|
|                   Category Information                    |  square  |   %  |
|  #|description                                            |kilometers| cover|
|-----------------------------------------------------------------------------|
| 66| . . . . . . . . . . . . . . . . . . . . . . . . . . . |   140.070|  0.31|
| 67| . . . . . . . . . . . . . . . . . . . . . . . . . . . |   139.072|  0.31|
| 68| . . . . . . . . . . . . . . . . . . . . . . . . . . . |   137.074|  0.30|
| 69| . . . . . . . . . . . . . . . . . . . . . . . . . . . |   131.082|  0.29|
| 70| . . . . . . . . . . . . . . . . . . . . . . . . . . . |   134.078|  0.30|
| 71| . . . . . . . . . . . . . . . . . . . . . . . . . . . |   141.569|  0.31|
| 72| . . . . . . . . . . . . . . . . . . . . . . . . . . . |   128.585|  0.28|
| 73| . . . . . . . . . . . . . . . . . . . . . . . . . . . |   127.586|  0.28|
| 74| . . . . . . . . . . . . . . . . . . . . . . . . . . . |   116.351|  0.26|
| 75| . . . . . . . . . . . . . . . . . . . . . . . . . . . |   125.839|  0.28|
| 76| . . . . . . . . . . . . . . . . . . . . . . . . . . . |   128.336|  0.28|
| 77| . . . . . . . . . . . . . . . . . . . . . . . . . . . |   123.592|  0.27|
| 78| . . . . . . . . . . . . . . . . . . . . . . . . . . . |   118.598|  0.26|
| 79| . . . . . . . . . . . . . . . . . . . . . . . . . . . |   127.836|  0.28|
| 80| . . . . . . . . . . . . . . . . . . . . . . . . . . . |   128.336|  0.28|
| 81| . . . . . . . . . . . . . . . . . . . . . . . . . . . |   114.603|  0.25|
| 82| . . . . . . . . . . . . . . . . . . . . . . . . . . . |   125.339|  0.28|
| 83| . . . . . . . . . . . . . . . . . . . . . . . . . . . |   124.091|  0.27|
| 84| . . . . . . . . . . . . . . . . . . . . . . . . . . . |   121.844|  0.27|
| 85| . . . . . . . . . . . . . . . . . . . . . . . . . . . |   125.339|  0.28|
| 86| . . . . . . . . . . . . . . . . . . . . . . . . . . . |   125.839|  0.28|
| 87| . . . . . . . . . . . . . . . . . . . . . . . . . . . |   127.586|  0.28|
| 88| . . . . . . . . . . . . . . . . . . . . . . . . . . . |   121.095|  0.27|
| 89| . . . . . . . . . . . . . . . . . . . . . . . . . . . |   122.343|  0.27|
| 90| . . . . . . . . . . . . . . . . . . . . . . . . . . . |   123.841|  0.27|
| 91| . . . . . . . . . . . . . . . . . . . . . . . . . . . |   109.859|  0.24|
| 92| . . . . . . . . . . . . . . . . . . . . . . . . . . . |   116.351|  0.26|
| 93| . . . . . . . . . . . . . . . . . . . . . . . . . . . |   109.859|  0.24|
| 94| . . . . . . . . . . . . . . . . . . . . . . . . . . . |   109.859|  0.24|
| 95| . . . . . . . . . . . . . . . . . . . . . . . . . . . |   117.100|  0.26|
| 96| . . . . . . . . . . . . . . . . . . . . . . . . . . . |   107.362|  0.24|
| 97| . . . . . . . . . . . . . . . . . . . . . . . . . . . |   102.618|  0.23|
| 98| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    96.127|  0.21|
| 99| . . . . . . . . . . . . . . . . . . . . . . . . . . . |   101.370|  0.22|
|100| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    93.131|  0.21|
|101| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    91.383|  0.20|
|102| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    85.890|  0.19|
|103| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    98.873|  0.22|
|104| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    92.382|  0.20|
|105| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    84.392|  0.19|
|106| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    82.644|  0.18|
|107| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    75.653|  0.17|
|108| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    83.393|  0.18|
|109| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    82.894|  0.18|
|110| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    75.403|  0.17|
|111| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    77.401|  0.17|
|112| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    72.657|  0.16|
|113| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    71.658|  0.16|
|114| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    64.917|  0.14|
|115| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    67.164|  0.15|
|116| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    63.419|  0.14|
|117| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    61.671|  0.14|
|118| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    58.175|  0.13|
|119| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    56.677|  0.13|
|120| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    59.923|  0.13|
|121| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    56.428|  0.12|
|122| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    52.932|  0.12|
|123| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    57.926|  0.13|
|124| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    52.183|  0.12|
|125| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    47.689|  0.11|
|126| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    54.430|  0.12|
|127| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    48.188|  0.11|
|128| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    42.446|  0.09|
|129| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    46.191|  0.10|
|130| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    46.940|  0.10|
|131| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    46.191|  0.10|
|132| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    44.942|  0.10|
|133| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    41.447|  0.09|
