+-----------------------------------------------------------------------------+
|                         RASTER MAP CATEGORY REPORT                          |
|LOCATION: TZA_PROJ                                   Mon Aug 31 23:15:17 2020|
|-----------------------------------------------------------------------------|
|          north: 10173518.20129205    east: 1736562.50629387                 |
|REGION    south:  8571589.79796037    west:  -140368.6154334                 |
|          res:        500.91569835    res:      500.91569835                 |
|-----------------------------------------------------------------------------|
|MASK: none                                                                   |
|-----------------------------------------------------------------------------|
|MAP: (untitled) (rTravelTime__gotravtime in TZA_PROJ)                        |
|-----------------------------------------------------------------------------|
|                   Category Information                    |  square  |   %  |
|   #|description                                           |kilometers| cover|
|-----------------------------------------------------------------------------|
|  70| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       471|  0.02|
|  71| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       481|  0.02|
|  72| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       492|  0.02|
|  73| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       458|  0.02|
|  74| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       489|  0.02|
|  75| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       494|  0.02|
|  76| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       507|  0.02|
|  77| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       499|  0.02|
|  78| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       498|  0.02|
|  79| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       502|  0.02|
|  80| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       498|  0.02|
|  81| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       522|  0.02|
|  82| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       523|  0.02|
|  83| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       536|  0.02|
|  84| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       526|  0.02|
|  85| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       527|  0.02|
|  86| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       553|  0.02|
|  87| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       562|  0.02|
|  88| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       557|  0.02|
|  89| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       566|  0.02|
|  90| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       563|  0.02|
|  91| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       568|  0.02|
|  92| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       594|  0.02|
