+-----------------------------------------------------------------------------+
|                         RASTER MAP CATEGORY REPORT                          |
|LOCATION: RWA1                                       Thu Jun 11 07:23:33 2020|
|-----------------------------------------------------------------------------|
|          north: 9884191.10285493    east: 267001.55683388                   |
|REGION    south: 9685318.51287095    west:  39147.53413866                   |
|          res:       499.67987433    res:     499.67987433                   |
|-----------------------------------------------------------------------------|
|MASK: none                                                                   |
|-----------------------------------------------------------------------------|
|MAP: (untitled) (rTravelTime__rwa_go_facs_v2 in RWA1)                        |
|-----------------------------------------------------------------------------|
|                   Category Information                    |  square  |   %  |
|  #|description                                            |kilometers| cover|
|-----------------------------------------------------------------------------|
| 66| . . . . . . . . . . . . . . . . . . . . . . . . . . . |   137.574|  0.30|
| 67| . . . . . . . . . . . . . . . . . . . . . . . . . . . |   142.817|  0.32|
| 68| . . . . . . . . . . . . . . . . . . . . . . . . . . . |   136.825|  0.30|
| 69| . . . . . . . . . . . . . . . . . . . . . . . . . . . |   133.579|  0.29|
| 70| . . . . . . . . . . . . . . . . . . . . . . . . . . . |   141.569|  0.31|
| 71| . . . . . . . . . . . . . . . . . . . . . . . . . . . |   137.074|  0.30|
| 72| . . . . . . . . . . . . . . . . . . . . . . . . . . . |   126.837|  0.28|
| 73| . . . . . . . . . . . . . . . . . . . . . . . . . . . |   129.334|  0.29|
| 74| . . . . . . . . . . . . . . . . . . . . . . . . . . . |   118.598|  0.26|
| 75| . . . . . . . . . . . . . . . . . . . . . . . . . . . |   129.334|  0.29|
| 76| . . . . . . . . . . . . . . . . . . . . . . . . . . . |   127.836|  0.28|
| 77| . . . . . . . . . . . . . . . . . . . . . . . . . . . |   124.840|  0.28|
| 78| . . . . . . . . . . . . . . . . . . . . . . . . . . . |   118.598|  0.26|
| 79| . . . . . . . . . . . . . . . . . . . . . . . . . . . |   128.585|  0.28|
| 80| . . . . . . . . . . . . . . . . . . . . . . . . . . . |   123.841|  0.27|
| 81| . . . . . . . . . . . . . . . . . . . . . . . . . . . |   114.853|  0.25|
| 82| . . . . . . . . . . . . . . . . . . . . . . . . . . . |   125.589|  0.28|
| 83| . . . . . . . . . . . . . . . . . . . . . . . . . . . |   126.837|  0.28|
| 84| . . . . . . . . . . . . . . . . . . . . . . . . . . . |   121.095|  0.27|
| 85| . . . . . . . . . . . . . . . . . . . . . . . . . . . |   125.339|  0.28|
| 86| . . . . . . . . . . . . . . . . . . . . . . . . . . . |   127.087|  0.28|
| 87| . . . . . . . . . . . . . . . . . . . . . . . . . . . |   130.083|  0.29|
| 88| . . . . . . . . . . . . . . . . . . . . . . . . . . . |   123.841|  0.27|
| 89| . . . . . . . . . . . . . . . . . . . . . . . . . . . |   120.595|  0.27|
| 90| . . . . . . . . . . . . . . . . . . . . . . . . . . . |   126.588|  0.28|
| 91| . . . . . . . . . . . . . . . . . . . . . . . . . . . |   109.110|  0.24|
| 92| . . . . . . . . . . . . . . . . . . . . . . . . . . . |   117.100|  0.26|
| 93| . . . . . . . . . . . . . . . . . . . . . . . . . . . |   110.858|  0.24|
| 94| . . . . . . . . . . . . . . . . . . . . . . . . . . . |   106.613|  0.24|
| 95| . . . . . . . . . . . . . . . . . . . . . . . . . . . |   118.598|  0.26|
| 96| . . . . . . . . . . . . . . . . . . . . . . . . . . . |   105.615|  0.23|
| 97| . . . . . . . . . . . . . . . . . . . . . . . . . . . |   103.617|  0.23|
| 98| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    98.124|  0.22|
| 99| . . . . . . . . . . . . . . . . . . . . . . . . . . . |   101.370|  0.22|
|100| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    95.627|  0.21|
|101| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    91.133|  0.20|
|102| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    90.634|  0.20|
|103| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    96.626|  0.21|
|104| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    93.131|  0.21|
|105| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    84.891|  0.19|
|106| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    82.394|  0.18|
|107| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    77.900|  0.17|
|108| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    85.640|  0.19|
|109| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    82.145|  0.18|
|110| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    75.903|  0.17|
|111| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    76.652|  0.17|
|112| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    73.156|  0.16|
|113| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    72.907|  0.16|
|114| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    67.913|  0.15|
|115| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    68.662|  0.15|
|116| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    63.668|  0.14|
|117| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    62.670|  0.14|
|118| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    58.675|  0.13|
|119| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    57.426|  0.13|
|120| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    58.425|  0.13|
|121| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    57.426|  0.13|
|122| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    52.433|  0.12|
|123| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    59.424|  0.13|
|124| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    51.933|  0.11|
