+-----------------------------------------------------------------------------+
|                         RASTER MAP CATEGORY REPORT                          |
|LOCATION: KEN2                                       Wed Jun 10 22:06:35 2020|
|-----------------------------------------------------------------------------|
|          north: 10674432.43287579    east:  977778.28195199                 |
|REGION    south:  9386262.60103682    west: -169427.68004663                 |
|          res:        499.87187887    res:      499.87187887                 |
|-----------------------------------------------------------------------------|
|MASK: none                                                                   |
|-----------------------------------------------------------------------------|
|MAP: (untitled) (rTravelTime__ken_go_v2_analysis in KEN2)                    |
|-----------------------------------------------------------------------------|
|                   Category Information                    |  square  |   %  |
|    #|description                                          |kilometers| cover|
|-----------------------------------------------------------------------------|
|   27| . . . . . . . . . . . . . . . . . . . . . . . . . . |       424|  0.03|
|   28| . . . . . . . . . . . . . . . . . . . . . . . . . . |       417|  0.03|
|   29| . . . . . . . . . . . . . . . . . . . . . . . . . . |       453|  0.03|
|   30| . . . . . . . . . . . . . . . . . . . . . . . . . . |       468|  0.03|
|   31| . . . . . . . . . . . . . . . . . . . . . . . . . . |       470|  0.03|
|   32| . . . . . . . . . . . . . . . . . . . . . . . . . . |       493|  0.03|
|   33| . . . . . . . . . . . . . . . . . . . . . . . . . . |       518|  0.04|
|   34| . . . . . . . . . . . . . . . . . . . . . . . . . . |       511|  0.03|
|   35| . . . . . . . . . . . . . . . . . . . . . . . . . . |       544|  0.04|
|   36| . . . . . . . . . . . . . . . . . . . . . . . . . . |       580|  0.04|
|   37| . . . . . . . . . . . . . . . . . . . . . . . . . . |       586|  0.04|
|   38| . . . . . . . . . . . . . . . . . . . . . . . . . . |       593|  0.04|
|   39| . . . . . . . . . . . . . . . . . . . . . . . . . . |       590|  0.04|
|   40| . . . . . . . . . . . . . . . . . . . . . . . . . . |       623|  0.04|
|   41| . . . . . . . . . . . . . . . . . . . . . . . . . . |       646|  0.04|
|   42| . . . . . . . . . . . . . . . . . . . . . . . . . . |       677|  0.05|
|   43| . . . . . . . . . . . . . . . . . . . . . . . . . . |       671|  0.05|
|   44| . . . . . . . . . . . . . . . . . . . . . . . . . . |       688|  0.05|
|   45| . . . . . . . . . . . . . . . . . . . . . . . . . . |       697|  0.05|
|   46| . . . . . . . . . . . . . . . . . . . . . . . . . . |       706|  0.05|
|   47| . . . . . . . . . . . . . . . . . . . . . . . . . . |       742|  0.05|
|   48| . . . . . . . . . . . . . . . . . . . . . . . . . . |       742|  0.05|
|   49| . . . . . . . . . . . . . . . . . . . . . . . . . . |       777|  0.05|
|   50| . . . . . . . . . . . . . . . . . . . . . . . . . . |       799|  0.05|
|   51| . . . . . . . . . . . . . . . . . . . . . . . . . . |       815|  0.06|
|   52| . . . . . . . . . . . . . . . . . . . . . . . . . . |       820|  0.06|
|   53| . . . . . . . . . . . . . . . . . . . . . . . . . . |       828|  0.06|
|   54| . . . . . . . . . . . . . . . . . . . . . . . . . . |       832|  0.06|
|   55| . . . . . . . . . . . . . . . . . . . . . . . . . . |       857|  0.06|
|   56| . . . . . . . . . . . . . . . . . . . . . . . . . . |       875|  0.06|
|   57| . . . . . . . . . . . . . . . . . . . . . . . . . . |       876|  0.06|
|   58| . . . . . . . . . . . . . . . . . . . . . . . . . . |       908|  0.06|
|   59| . . . . . . . . . . . . . . . . . . . . . . . . . . |       889|  0.06|
|   60| . . . . . . . . . . . . . . . . . . . . . . . . . . |       873|  0.06|
|   61| . . . . . . . . . . . . . . . . . . . . . . . . . . |       888|  0.06|
|   62| . . . . . . . . . . . . . . . . . . . . . . . . . . |       912|  0.06|
|   63| . . . . . . . . . . . . . . . . . . . . . . . . . . |       922|  0.06|
|   64| . . . . . . . . . . . . . . . . . . . . . . . . . . |       897|  0.06|
|   65| . . . . . . . . . . . . . . . . . . . . . . . . . . |       905|  0.06|
|   66| . . . . . . . . . . . . . . . . . . . . . . . . . . |       912|  0.06|
|   67| . . . . . . . . . . . . . . . . . . . . . . . . . . |       928|  0.06|
|   68| . . . . . . . . . . . . . . . . . . . . . . . . . . |       927|  0.06|
|   69| . . . . . . . . . . . . . . . . . . . . . . . . . . |       895|  0.06|
|   70| . . . . . . . . . . . . . . . . . . . . . . . . . . |       878|  0.06|
