+-----------------------------------------------------------------------------+
|                         RASTER MAP CATEGORY REPORT                          |
|LOCATION: TZA_PROJ                                   Mon Aug 31 23:15:32 2020|
|-----------------------------------------------------------------------------|
|          north: 10173518.20129205    east: 1736562.50629387                 |
|REGION    south:  8571589.79796037    west:  -140368.6154334                 |
|          res:        500.91569835    res:      500.91569835                 |
|-----------------------------------------------------------------------------|
|MASK: none                                                                   |
|-----------------------------------------------------------------------------|
|MAP: (untitled) (rTravelTime__t3travtime in TZA_PROJ)                        |
|-----------------------------------------------------------------------------|
|                   Category Information                    |  square  |   %  |
|   #|description                                           |kilometers| cover|
|-----------------------------------------------------------------------------|
|   0| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       123|  0.00|
|   1| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       174|  0.01|
|   2| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       241|  0.01|
|   3| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       411|  0.01|
|   4| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       519|  0.02|
|   5| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       605|  0.02|
|   6| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       698|  0.02|
|   7| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       765|  0.03|
|   8| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       827|  0.03|
|   9| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       914|  0.03|
|  10| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1021|  0.03|
|  11| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1078|  0.04|
|  12| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1188|  0.04|
|  13| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1275|  0.04|
|  14| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1321|  0.04|
|  15| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1383|  0.05|
|  16| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1519|  0.05|
|  17| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1537|  0.05|
|  18| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1633|  0.05|
|  19| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1672|  0.06|
|  20| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1754|  0.06|
|  21| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1829|  0.06|
|  22| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1841|  0.06|
|  23| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1930|  0.06|
|  24| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1943|  0.06|
|  25| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      2013|  0.07|
