+-----------------------------------------------------------------------------+
|                         RASTER MAP CATEGORY REPORT                          |
|LOCATION: KEN2                                       Thu Apr 16 19:10:06 2020|
|-----------------------------------------------------------------------------|
|          north: 10674432.43287579    east:  977778.28195199                 |
|REGION    south:  9386262.60103682    west: -169427.68004663                 |
|          res:        499.87187887    res:      499.87187887                 |
|-----------------------------------------------------------------------------|
|MASK: none                                                                   |
|-----------------------------------------------------------------------------|
|MAP: (untitled) (rTravelTime__ken_go_facs in KEN2)                           |
|-----------------------------------------------------------------------------|
|                   Category Information                    |  square  |   %  |
|    #|description                                          |kilometers| cover|
|-----------------------------------------------------------------------------|
|   71| . . . . . . . . . . . . . . . . . . . . . . . . . . |       974|  0.07|
|   72| . . . . . . . . . . . . . . . . . . . . . . . . . . |       994|  0.07|
|   73| . . . . . . . . . . . . . . . . . . . . . . . . . . |       969|  0.07|
|   74| . . . . . . . . . . . . . . . . . . . . . . . . . . |       982|  0.07|
|   75| . . . . . . . . . . . . . . . . . . . . . . . . . . |       965|  0.07|
|   76| . . . . . . . . . . . . . . . . . . . . . . . . . . |       974|  0.07|
|   77| . . . . . . . . . . . . . . . . . . . . . . . . . . |       948|  0.06|
|   78| . . . . . . . . . . . . . . . . . . . . . . . . . . |       939|  0.06|
|   79| . . . . . . . . . . . . . . . . . . . . . . . . . . |       941|  0.06|
|   80| . . . . . . . . . . . . . . . . . . . . . . . . . . |       940|  0.06|
|   81| . . . . . . . . . . . . . . . . . . . . . . . . . . |       964|  0.07|
|   82| . . . . . . . . . . . . . . . . . . . . . . . . . . |       950|  0.06|
|   83| . . . . . . . . . . . . . . . . . . . . . . . . . . |       952|  0.06|
|   84| . . . . . . . . . . . . . . . . . . . . . . . . . . |       935|  0.06|
|   85| . . . . . . . . . . . . . . . . . . . . . . . . . . |       938|  0.06|
|   86| . . . . . . . . . . . . . . . . . . . . . . . . . . |       960|  0.06|
|   87| . . . . . . . . . . . . . . . . . . . . . . . . . . |       962|  0.07|
|   88| . . . . . . . . . . . . . . . . . . . . . . . . . . |       959|  0.06|
|   89| . . . . . . . . . . . . . . . . . . . . . . . . . . |       933|  0.06|
|   90| . . . . . . . . . . . . . . . . . . . . . . . . . . |       936|  0.06|
|   91| . . . . . . . . . . . . . . . . . . . . . . . . . . |       923|  0.06|
|   92| . . . . . . . . . . . . . . . . . . . . . . . . . . |       927|  0.06|
|   93| . . . . . . . . . . . . . . . . . . . . . . . . . . |       917|  0.06|
|   94| . . . . . . . . . . . . . . . . . . . . . . . . . . |       934|  0.06|
|   95| . . . . . . . . . . . . . . . . . . . . . . . . . . |       918|  0.06|
|   96| . . . . . . . . . . . . . . . . . . . . . . . . . . |       942|  0.06|
|   97| . . . . . . . . . . . . . . . . . . . . . . . . . . |       905|  0.06|
|   98| . . . . . . . . . . . . . . . . . . . . . . . . . . |       903|  0.06|
|   99| . . . . . . . . . . . . . . . . . . . . . . . . . . |       946|  0.06|
|  100| . . . . . . . . . . . . . . . . . . . . . . . . . . |       939|  0.06|
|  101| . . . . . . . . . . . . . . . . . . . . . . . . . . |       966|  0.07|
|  102| . . . . . . . . . . . . . . . . . . . . . . . . . . |       937|  0.06|
|  103| . . . . . . . . . . . . . . . . . . . . . . . . . . |       940|  0.06|
|  104| . . . . . . . . . . . . . . . . . . . . . . . . . . |       949|  0.06|
|  105| . . . . . . . . . . . . . . . . . . . . . . . . . . |       933|  0.06|
|  106| . . . . . . . . . . . . . . . . . . . . . . . . . . |       919|  0.06|
|  107| . . . . . . . . . . . . . . . . . . . . . . . . . . |       953|  0.06|
|  108| . . . . . . . . . . . . . . . . . . . . . . . . . . |       933|  0.06|
|  109| . . . . . . . . . . . . . . . . . . . . . . . . . . |       937|  0.06|
|  110| . . . . . . . . . . . . . . . . . . . . . . . . . . |       932|  0.06|
|  111| . . . . . . . . . . . . . . . . . . . . . . . . . . |       928|  0.06|
|  112| . . . . . . . . . . . . . . . . . . . . . . . . . . |       939|  0.06|
|  113| . . . . . . . . . . . . . . . . . . . . . . . . . . |       924|  0.06|
|  114| . . . . . . . . . . . . . . . . . . . . . . . . . . |       921|  0.06|
|  115| . . . . . . . . . . . . . . . . . . . . . . . . . . |       920|  0.06|
|  116| . . . . . . . . . . . . . . . . . . . . . . . . . . |       955|  0.06|
|  117| . . . . . . . . . . . . . . . . . . . . . . . . . . |       928|  0.06|
|  118| . . . . . . . . . . . . . . . . . . . . . . . . . . |       907|  0.06|
|  119| . . . . . . . . . . . . . . . . . . . . . . . . . . |       939|  0.06|
|  120| . . . . . . . . . . . . . . . . . . . . . . . . . . |       946|  0.06|
|  121| . . . . . . . . . . . . . . . . . . . . . . . . . . |       933|  0.06|
|  122| . . . . . . . . . . . . . . . . . . . . . . . . . . |       947|  0.06|
|  123| . . . . . . . . . . . . . . . . . . . . . . . . . . |       948|  0.06|
|  124| . . . . . . . . . . . . . . . . . . . . . . . . . . |       959|  0.06|
|  125| . . . . . . . . . . . . . . . . . . . . . . . . . . |       949|  0.06|
|  126| . . . . . . . . . . . . . . . . . . . . . . . . . . |       944|  0.06|
|  127| . . . . . . . . . . . . . . . . . . . . . . . . . . |       943|  0.06|
|  128| . . . . . . . . . . . . . . . . . . . . . . . . . . |       930|  0.06|
|  129| . . . . . . . . . . . . . . . . . . . . . . . . . . |       929|  0.06|
|  130| . . . . . . . . . . . . . . . . . . . . . . . . . . |       897|  0.06|
|  131| . . . . . . . . . . . . . . . . . . . . . . . . . . |       914|  0.06|
|  132| . . . . . . . . . . . . . . . . . . . . . . . . . . |       929|  0.06|
|  133| . . . . . . . . . . . . . . . . . . . . . . . . . . |       920|  0.06|
|  134| . . . . . . . . . . . . . . . . . . . . . . . . . . |       901|  0.06|
|  135| . . . . . . . . . . . . . . . . . . . . . . . . . . |       911|  0.06|
|  136| . . . . . . . . . . . . . . . . . . . . . . . . . . |       892|  0.06|
|  137| . . . . . . . . . . . . . . . . . . . . . . . . . . |       897|  0.06|
|  138| . . . . . . . . . . . . . . . . . . . . . . . . . . |       915|  0.06|
|  139| . . . . . . . . . . . . . . . . . . . . . . . . . . |       910|  0.06|
|  140| . . . . . . . . . . . . . . . . . . . . . . . . . . |       892|  0.06|
|  141| . . . . . . . . . . . . . . . . . . . . . . . . . . |       905|  0.06|
|  142| . . . . . . . . . . . . . . . . . . . . . . . . . . |       883|  0.06|
|  143| . . . . . . . . . . . . . . . . . . . . . . . . . . |       912|  0.06|
|  144| . . . . . . . . . . . . . . . . . . . . . . . . . . |       890|  0.06|
|  145| . . . . . . . . . . . . . . . . . . . . . . . . . . |       894|  0.06|
|  146| . . . . . . . . . . . . . . . . . . . . . . . . . . |       890|  0.06|
|  147| . . . . . . . . . . . . . . . . . . . . . . . . . . |       882|  0.06|
|  148| . . . . . . . . . . . . . . . . . . . . . . . . . . |       872|  0.06|
|  149| . . . . . . . . . . . . . . . . . . . . . . . . . . |       880|  0.06|
|  150| . . . . . . . . . . . . . . . . . . . . . . . . . . |       884|  0.06|
|  151| . . . . . . . . . . . . . . . . . . . . . . . . . . |       900|  0.06|
|  152| . . . . . . . . . . . . . . . . . . . . . . . . . . |       858|  0.06|
|  153| . . . . . . . . . . . . . . . . . . . . . . . . . . |       861|  0.06|
|  154| . . . . . . . . . . . . . . . . . . . . . . . . . . |       875|  0.06|
|  155| . . . . . . . . . . . . . . . . . . . . . . . . . . |       869|  0.06|
|  156| . . . . . . . . . . . . . . . . . . . . . . . . . . |       875|  0.06|
|  157| . . . . . . . . . . . . . . . . . . . . . . . . . . |       876|  0.06|
|  158| . . . . . . . . . . . . . . . . . . . . . . . . . . |       863|  0.06|
|  159| . . . . . . . . . . . . . . . . . . . . . . . . . . |       873|  0.06|
|  160| . . . . . . . . . . . . . . . . . . . . . . . . . . |       879|  0.06|
|  161| . . . . . . . . . . . . . . . . . . . . . . . . . . |       860|  0.06|
|  162| . . . . . . . . . . . . . . . . . . . . . . . . . . |       882|  0.06|
|  163| . . . . . . . . . . . . . . . . . . . . . . . . . . |       864|  0.06|
|  164| . . . . . . . . . . . . . . . . . . . . . . . . . . |       868|  0.06|
|  165| . . . . . . . . . . . . . . . . . . . . . . . . . . |       862|  0.06|
|  166| . . . . . . . . . . . . . . . . . . . . . . . . . . |       865|  0.06|
|  167| . . . . . . . . . . . . . . . . . . . . . . . . . . |       861|  0.06|
|  168| . . . . . . . . . . . . . . . . . . . . . . . . . . |       875|  0.06|
|  169| . . . . . . . . . . . . . . . . . . . . . . . . . . |       846|  0.06|
|  170| . . . . . . . . . . . . . . . . . . . . . . . . . . |       854|  0.06|
|  171| . . . . . . . . . . . . . . . . . . . . . . . . . . |       849|  0.06|
|  172| . . . . . . . . . . . . . . . . . . . . . . . . . . |       863|  0.06|
|  173| . . . . . . . . . . . . . . . . . . . . . . . . . . |       862|  0.06|
|  174| . . . . . . . . . . . . . . . . . . . . . . . . . . |       835|  0.06|
|  175| . . . . . . . . . . . . . . . . . . . . . . . . . . |       859|  0.06|
|  176| . . . . . . . . . . . . . . . . . . . . . . . . . . |       852|  0.06|
|  177| . . . . . . . . . . . . . . . . . . . . . . . . . . |       847|  0.06|
|  178| . . . . . . . . . . . . . . . . . . . . . . . . . . |       842|  0.06|
|  179| . . . . . . . . . . . . . . . . . . . . . . . . . . |       847|  0.06|
|  180| . . . . . . . . . . . . . . . . . . . . . . . . . . |       820|  0.06|
|  181| . . . . . . . . . . . . . . . . . . . . . . . . . . |       852|  0.06|
|  182| . . . . . . . . . . . . . . . . . . . . . . . . . . |       819|  0.06|
|  183| . . . . . . . . . . . . . . . . . . . . . . . . . . |       815|  0.06|
|  184| . . . . . . . . . . . . . . . . . . . . . . . . . . |       805|  0.05|
|  185| . . . . . . . . . . . . . . . . . . . . . . . . . . |       808|  0.05|
|  186| . . . . . . . . . . . . . . . . . . . . . . . . . . |       808|  0.05|
|  187| . . . . . . . . . . . . . . . . . . . . . . . . . . |       788|  0.05|
|  188| . . . . . . . . . . . . . . . . . . . . . . . . . . |       803|  0.05|
|  189| . . . . . . . . . . . . . . . . . . . . . . . . . . |       801|  0.05|
|  190| . . . . . . . . . . . . . . . . . . . . . . . . . . |       795|  0.05|
|  191| . . . . . . . . . . . . . . . . . . . . . . . . . . |       810|  0.05|
|  192| . . . . . . . . . . . . . . . . . . . . . . . . . . |       790|  0.05|
|  193| . . . . . . . . . . . . . . . . . . . . . . . . . . |       775|  0.05|
|  194| . . . . . . . . . . . . . . . . . . . . . . . . . . |       787|  0.05|
|  195| . . . . . . . . . . . . . . . . . . . . . . . . . . |       778|  0.05|
|  196| . . . . . . . . . . . . . . . . . . . . . . . . . . |       784|  0.05|
|  197| . . . . . . . . . . . . . . . . . . . . . . . . . . |       799|  0.05|
|  198| . . . . . . . . . . . . . . . . . . . . . . . . . . |       777|  0.05|
|  199| . . . . . . . . . . . . . . . . . . . . . . . . . . |       779|  0.05|
|  200| . . . . . . . . . . . . . . . . . . . . . . . . . . |       775|  0.05|
|  201| . . . . . . . . . . . . . . . . . . . . . . . . . . |       797|  0.05|
|  202| . . . . . . . . . . . . . . . . . . . . . . . . . . |       798|  0.05|
|  203| . . . . . . . . . . . . . . . . . . . . . . . . . . |       782|  0.05|
|  204| . . . . . . . . . . . . . . . . . . . . . . . . . . |       768|  0.05|
|  205| . . . . . . . . . . . . . . . . . . . . . . . . . . |       783|  0.05|
|  206| . . . . . . . . . . . . . . . . . . . . . . . . . . |       792|  0.05|
|  207| . . . . . . . . . . . . . . . . . . . . . . . . . . |       768|  0.05|
|  208| . . . . . . . . . . . . . . . . . . . . . . . . . . |       773|  0.05|
|  209| . . . . . . . . . . . . . . . . . . . . . . . . . . |       795|  0.05|
|  210| . . . . . . . . . . . . . . . . . . . . . . . . . . |       768|  0.05|
|  211| . . . . . . . . . . . . . . . . . . . . . . . . . . |       790|  0.05|
|  212| . . . . . . . . . . . . . . . . . . . . . . . . . . |       772|  0.05|
|  213| . . . . . . . . . . . . . . . . . . . . . . . . . . |       775|  0.05|
|  214| . . . . . . . . . . . . . . . . . . . . . . . . . . |       780|  0.05|
|  215| . . . . . . . . . . . . . . . . . . . . . . . . . . |       808|  0.05|
|  216| . . . . . . . . . . . . . . . . . . . . . . . . . . |       771|  0.05|
|  217| . . . . . . . . . . . . . . . . . . . . . . . . . . |       785|  0.05|
