+-----------------------------------------------------------------------------+
|                         RASTER MAP CATEGORY REPORT                          |
|LOCATION: UPDATE_T4                                  Thu Apr 16 19:10:51 2020|
|-----------------------------------------------------------------------------|
|          north: 9903473.48523095    east: 1338069.53726927                  |
|REGION    south: 8684078.08687044    west:   74062.11213946                  |
|          res:       929.41722436    res:      929.41722436                  |
|-----------------------------------------------------------------------------|
|MASK: none                                                                   |
|-----------------------------------------------------------------------------|
|MAP: (untitled) (rTravelTime__tz_go_merge in UPDATE_T4)                      |
|-----------------------------------------------------------------------------|
|                   Category Information                    |  square  |   %  |
|   #|description                                           |kilometers| cover|
|-----------------------------------------------------------------------------|
|  69| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       585|  0.04|
|  70| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       560|  0.04|
|  71| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       541|  0.04|
|  72| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       544|  0.04|
|  73| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       606|  0.04|
|  74| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       599|  0.04|
|  75| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       569|  0.04|
|  76| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       616|  0.04|
|  77| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       615|  0.04|
|  78| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       552|  0.04|
|  79| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       648|  0.04|
|  80| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       594|  0.04|
|  81| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       623|  0.04|
|  82| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       676|  0.04|
|  83| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       669|  0.04|
|  84| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       629|  0.04|
|  85| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       673|  0.04|
|  86| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       687|  0.04|
|  87| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       698|  0.05|
|  88| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       676|  0.04|
|  89| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       715|  0.05|
|  90| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       688|  0.04|
|  91| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       699|  0.05|
|  92| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       767|  0.05|
|  93| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       761|  0.05|
|  94| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       736|  0.05|
|  95| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       758|  0.05|
|  96| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       781|  0.05|
|  97| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       776|  0.05|
|  98| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       757|  0.05|
|  99| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       741|  0.05|
| 100| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       791|  0.05|
| 101| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       797|  0.05|
| 102| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       834|  0.05|
| 103| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       793|  0.05|
| 104| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       798|  0.05|
| 105| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       819|  0.05|
| 106| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       773|  0.05|
| 107| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       817|  0.05|
| 108| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       775|  0.05|
| 109| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       780|  0.05|
| 110| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       828|  0.05|
| 111| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       846|  0.05|
| 112| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       824|  0.05|
| 113| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       787|  0.05|
| 114| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       838|  0.05|
| 115| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       840|  0.05|
| 116| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       821|  0.05|
| 117| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       840|  0.05|
| 118| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       807|  0.05|
| 119| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       832|  0.05|
| 120| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       877|  0.06|
| 121| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       859|  0.06|
| 122| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       887|  0.06|
| 123| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       917|  0.06|
| 124| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       884|  0.06|
| 125| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       904|  0.06|
| 126| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       898|  0.06|
| 127| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       889|  0.06|
| 128| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       937|  0.06|
| 129| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       925|  0.06|
| 130| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       915|  0.06|
| 131| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       912|  0.06|
| 132| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       956|  0.06|
| 133| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       917|  0.06|
| 134| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       885|  0.06|
| 135| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       929|  0.06|
| 136| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       950|  0.06|
| 137| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       904|  0.06|
| 138| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       929|  0.06|
| 139| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       895|  0.06|
| 140| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       964|  0.06|
| 141| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       948|  0.06|
| 142| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       961|  0.06|
| 143| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       897|  0.06|
| 144| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       916|  0.06|
| 145| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       948|  0.06|
| 146| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       974|  0.06|
| 147| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       911|  0.06|
| 148| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       923|  0.06|
| 149| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       923|  0.06|
| 150| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       956|  0.06|
| 151| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       910|  0.06|
| 152| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       959|  0.06|
| 153| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       914|  0.06|
| 154| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       946|  0.06|
| 155| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1010|  0.07|
| 156| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       947|  0.06|
| 157| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       970|  0.06|
| 158| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       993|  0.06|
| 159| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       908|  0.06|
| 160| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       980|  0.06|
| 161| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       990|  0.06|
| 162| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       951|  0.06|
| 163| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       985|  0.06|
| 164| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1012|  0.07|
| 165| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       968|  0.06|
| 166| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       993|  0.06|
| 167| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       986|  0.06|
| 168| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       997|  0.06|
| 169| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1021|  0.07|
| 170| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1050|  0.07|
| 171| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1015|  0.07|
| 172| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1014|  0.07|
| 173| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1046|  0.07|
| 174| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1050|  0.07|
| 175| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1065|  0.07|
| 176| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1067|  0.07|
| 177| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1072|  0.07|
| 178| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1101|  0.07|
| 179| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1071|  0.07|
| 180| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1090|  0.07|
| 181| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1103|  0.07|
| 182| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1136|  0.07|
| 183| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1117|  0.07|
| 184| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1094|  0.07|
| 185| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1101|  0.07|
| 186| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1130|  0.07|
| 187| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1111|  0.07|
| 188| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1148|  0.07|
| 189| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1137|  0.07|
| 190| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1148|  0.07|
| 191| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1158|  0.08|
| 192| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1158|  0.08|
| 193| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1202|  0.08|
| 194| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1186|  0.08|
| 195| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1191|  0.08|
| 196| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1188|  0.08|
