+-----------------------------------------------------------------------------+
|                         RASTER MAP CATEGORY REPORT                          |
|LOCATION: UPDATE_T4                                  Wed Jun 10 22:29:57 2020|
|-----------------------------------------------------------------------------|
|          north: 9903473.48523095    east: 1338069.53726927                  |
|REGION    south: 8684078.08687044    west:   74062.11213946                  |
|          res:       929.41722436    res:      929.41722436                  |
|-----------------------------------------------------------------------------|
|MASK: none                                                                   |
|-----------------------------------------------------------------------------|
|MAP: (untitled) (rTravelTime__tz_go_v2 in UPDATE_T4)                         |
|-----------------------------------------------------------------------------|
|                   Category Information                    |  square  |   %  |
|   #|description                                           |kilometers| cover|
|-----------------------------------------------------------------------------|
|  69| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       673|  0.04|
|  70| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       674|  0.04|
|  71| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       672|  0.04|
|  72| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       688|  0.04|
|  73| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       727|  0.05|
|  74| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       723|  0.05|
|  75| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       726|  0.05|
|  76| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       775|  0.05|
|  77| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       733|  0.05|
|  78| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       733|  0.05|
|  79| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       772|  0.05|
|  80| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       737|  0.05|
|  81| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       762|  0.05|
|  82| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       822|  0.05|
|  83| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       784|  0.05|
|  84| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       742|  0.05|
|  85| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       813|  0.05|
|  86| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       798|  0.05|
|  87| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       788|  0.05|
|  88| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       840|  0.05|
|  89| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       807|  0.05|
|  90| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       800|  0.05|
|  91| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       846|  0.05|
|  92| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       866|  0.06|
|  93| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       902|  0.06|
|  94| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       837|  0.05|
|  95| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       885|  0.06|
|  96| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       871|  0.06|
|  97| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       891|  0.06|
|  98| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       904|  0.06|
|  99| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       879|  0.06|
| 100| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       930|  0.06|
| 101| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       920|  0.06|
| 102| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       923|  0.06|
| 103| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       887|  0.06|
| 104| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       907|  0.06|
| 105| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       919|  0.06|
| 106| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       917|  0.06|
| 107| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       940|  0.06|
| 108| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       939|  0.06|
| 109| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       965|  0.06|
| 110| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       989|  0.06|
| 111| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       980|  0.06|
| 112| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       932|  0.06|
| 113| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       956|  0.06|
| 114| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       957|  0.06|
| 115| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       955|  0.06|
