+-----------------------------------------------------------------------------+
|                         RASTER MAP CATEGORY REPORT                          |
|LOCATION: TZA_PROJ                                   Mon Aug 31 23:15:22 2020|
|-----------------------------------------------------------------------------|
|          north: 10173518.20129205    east: 1736562.50629387                 |
|REGION    south:  8571589.79796037    west:  -140368.6154334                 |
|          res:        500.91569835    res:      500.91569835                 |
|-----------------------------------------------------------------------------|
|MASK: none                                                                   |
|-----------------------------------------------------------------------------|
|MAP: (untitled) (rTravelTime__t1travtime in TZA_PROJ)                        |
|-----------------------------------------------------------------------------|
|                   Category Information                    |  square  |   %  |
|   #|description                                           |kilometers| cover|
|-----------------------------------------------------------------------------|
|  68| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      4423|  0.15|
|  69| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      4321|  0.14|
|  70| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      4331|  0.14|
|  71| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      4182|  0.14|
|  72| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      4132|  0.14|
|  73| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      3996|  0.13|
|  74| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      3966|  0.13|
|  75| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      3914|  0.13|
|  76| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      3904|  0.13|
|  77| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      3772|  0.13|
|  78| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      3726|  0.12|
|  79| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      3667|  0.12|
|  80| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      3617|  0.12|
|  81| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      3571|  0.12|
|  82| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      3536|  0.12|
|  83| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      3451|  0.11|
|  84| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      3369|  0.11|
|  85| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      3349|  0.11|
|  86| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      3288|  0.11|
|  87| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      3240|  0.11|
|  88| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      3200|  0.11|
|  89| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      3197|  0.11|
|  90| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      3119|  0.10|
|  91| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      3059|  0.10|
|  92| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      3056|  0.10|
|  93| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      2936|  0.10|
|  94| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      2999|  0.10|
|  95| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      2881|  0.10|
|  96| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      2905|  0.10|
|  97| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      2806|  0.09|
|  98| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      2772|  0.09|
|  99| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      2780|  0.09|
| 100| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      2678|  0.09|
| 101| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      2679|  0.09|
| 102| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      2606|  0.09|
| 103| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      2626|  0.09|
| 104| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      2591|  0.09|
| 105| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      2544|  0.08|
